How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
developed at various sites in the grasslands of Afro-Eurasia because these places supported large mobile herds and nomadic lifestyle but not farming or cities.	Pastoralism
Thesis	A _____ is used to define and direct an essay and is worth 1 point. In it you must answer all parts of the question and then prove it to be true within the remainder of your essay.
A _____ is used to define and direct an essay and is worth 1 point. In it you must answer all parts of the question and then prove it to be true within the remainder of your essay.	Thesis
All	How many documents must you use in the DBQ?
How many documents must you use in the DBQ?	All
2	The minimum number times must you analyze the Point of View in documents within a DBQ essay?
The minimum number times must you analyze the Point of View in documents within a DBQ essay?	2
2	You must group documents in at least 2 or 3 ways within the DBQ essay. What is the minimum number documents in a group?
You must group documents in at least 2 or 3 ways within the DBQ essay. What is the minimum number documents in a group?	2
groups	In the DBQ essay, you need at least 2-3 of these, which allow you to answer the question by analyzing comparisons between documents.
In the DBQ essay, you need at least 2-3 of these, which allow you to answer the question by analyzing comparisons between documents.	groups
Document	Expressing and explaining the need for an additional _______ is worth 1 point on a DBQ Essay,
Expressing and explaining the need for an additional _______ is worth 1 point on a DBQ Essay,	Document
parts	Always makes sure your thesis and essay has answered all _____ of the question in any AP World essays.
Always makes sure your thesis and essay has answered all _____ of the question in any AP World essays.	parts
Support	You need to use the documents as evividence to ______ your thesis. Doing this with all documents is worth 2 points on the DBQ essay.
